Maarintalo;
Water;
DateTime;m3
17.9.2015 00:00:00:000;0,06
17.9.2015 01:00:00:000;0,07
17.9.2015 02:00:00:000;0,07
17.9.2015 03:00:00:000;0,01
17.9.2015 04:00:00:000;0,04
17.9.2015 05:00:00:000;0,01
17.9.2015 06:00:00:000;0,03
17.9.2015 07:00:00:000;0,08
17.9.2015 08:00:00:000;0,13
17.9.2015 09:00:00:000;0,19
17.9.2015 10:00:00:000;0,26
17.9.2015 11:00:00:000;0,33
17.9.2015 12:00:00:000;0,4
17.9.2015 13:00:00:000;0,48
17.9.2015 14:00:00:000;0,48
17.9.2015 15:00:00:000;0,37
17.9.2015 16:00:00:000;0,4
17.9.2015 17:00:00:000;0,28
17.9.2015 18:00:00:000;0,24
17.9.2015 19:00:00:000;0,22
17.9.2015 20:00:00:000;0,2
17.9.2015 21:00:00:000;0,14
17.9.2015 22:00:00:000;0,08
17.9.2015 23:00:00:000;0,07
18.9.2015 00:00:00:000;0,04
18.9.2015 01:00:00:000;0,04
18.9.2015 02:00:00:000;0
18.9.2015 03:00:00:000;0,01
18.9.2015 04:00:00:000;0,03
18.9.2015 05:00:00:000;0,01
18.9.2015 06:00:00:000;0,01
18.9.2015 07:00:00:000;0,11
18.9.2015 08:00:00:000;0,09
18.9.2015 09:00:00:000;0,11
18.9.2015 10:00:00:000;0,18
18.9.2015 11:00:00:000;0,14
18.9.2015 12:00:00:000;0,29
18.9.2015 13:00:00:000;0,28
18.9.2015 14:00:00:000;0,21
18.9.2015 15:00:00:000;0,23
18.9.2015 16:00:00:000;0,22
18.9.2015 17:00:00:000;0,14
18.9.2015 18:00:00:000;0,11
18.9.2015 19:00:00:000;0,11
18.9.2015 20:00:00:000;0,12
18.9.2015 21:00:00:000;0,07
18.9.2015 22:00:00:000;0,06
18.9.2015 23:00:00:000;0,03
19.9.2015 00:00:00:000;0,02
19.9.2015 01:00:00:000;0,02
19.9.2015 02:00:00:000;0,02
19.9.2015 03:00:00:000;0,01
19.9.2015 04:00:00:000;0,01
19.9.2015 05:00:00:000;0
19.9.2015 06:00:00:000;0
19.9.2015 07:00:00:000;0,04
19.9.2015 08:00:00:000;0,06
19.9.2015 09:00:00:000;0,11
19.9.2015 10:00:00:000;0,08
19.9.2015 11:00:00:000;0,07
19.9.2015 12:00:00:000;0,12
19.9.2015 13:00:00:000;0,15
19.9.2015 14:00:00:000;0,13
19.9.2015 15:00:00:000;0,1
19.9.2015 16:00:00:000;0,2
19.9.2015 17:00:00:000;0,09
19.9.2015 18:00:00:000;0,14
19.9.2015 19:00:00:000;0,12
19.9.2015 20:00:00:000;0,13
19.9.2015 21:00:00:000;0,08
19.9.2015 22:00:00:000;0,07
19.9.2015 23:00:00:000;0,02
20.9.2015 00:00:00:000;0,03
20.9.2015 01:00:00:000;0,03
20.9.2015 02:00:00:000;0,03
20.9.2015 03:00:00:000;0,01
20.9.2015 04:00:00:000;0,02
20.9.2015 05:00:00:000;0,01
20.9.2015 06:00:00:000;0
20.9.2015 07:00:00:000;0,04
20.9.2015 08:00:00:000;0,02
20.9.2015 09:00:00:000;0,01
20.9.2015 10:00:00:000;0,13
20.9.2015 11:00:00:000;0,08
20.9.2015 12:00:00:000;0,15
20.9.2015 13:00:00:000;0,17
20.9.2015 14:00:00:000;0,18
20.9.2015 15:00:00:000;0,19
20.9.2015 16:00:00:000;0,13
20.9.2015 17:00:00:000;0,19
20.9.2015 18:00:00:000;0,16
20.9.2015 19:00:00:000;0,19
20.9.2015 20:00:00:000;0,13
20.9.2015 21:00:00:000;0,1
20.9.2015 22:00:00:000;0,1
20.9.2015 23:00:00:000;0,09
21.9.2015 00:00:00:000;0,06
21.9.2015 01:00:00:000;0,03
21.9.2015 02:00:00:000;0,03
21.9.2015 03:00:00:000;0
21.9.2015 04:00:00:000;0,01
21.9.2015 05:00:00:000;0,03
21.9.2015 06:00:00:000;0,01
21.9.2015 07:00:00:000;0,08
21.9.2015 08:00:00:000;0,11
21.9.2015 09:00:00:000;0,25
21.9.2015 10:00:00:000;0,2
21.9.2015 11:00:00:000;0,34
21.9.2015 12:00:00:000;0,39
21.9.2015 13:00:00:000;0,43
21.9.2015 14:00:00:000;0,32
21.9.2015 15:00:00:000;0,33
21.9.2015 16:00:00:000;0,41
21.9.2015 17:00:00:000;0,26
21.9.2015 18:00:00:000;0,19
21.9.2015 19:00:00:000;0,17
21.9.2015 20:00:00:000;0,2
21.9.2015 21:00:00:000;0,08
21.9.2015 22:00:00:000;0,1
21.9.2015 23:00:00:000;0,05
22.9.2015 00:00:00:000;0,04
22.9.2015 01:00:00:000;0,06
22.9.2015 02:00:00:000;0,01
22.9.2015 03:00:00:000;0,03
22.9.2015 04:00:00:000;0,02
22.9.2015 05:00:00:000;0,02
22.9.2015 06:00:00:000;0,03
22.9.2015 07:00:00:000;0,09
22.9.2015 08:00:00:000;0,15
22.9.2015 09:00:00:000;0,15
22.9.2015 10:00:00:000;0,27
22.9.2015 11:00:00:000;0,34
22.9.2015 12:00:00:000;0,41
22.9.2015 13:00:00:000;0,45
22.9.2015 14:00:00:000;0,46
22.9.2015 15:00:00:000;0,43
22.9.2015 16:00:00:000;0,43
22.9.2015 17:00:00:000;0,27
22.9.2015 18:00:00:000;0,25
22.9.2015 19:00:00:000;0,29
22.9.2015 20:00:00:000;0,14
22.9.2015 21:00:00:000;0,07
22.9.2015 22:00:00:000;0,06
22.9.2015 23:00:00:000;0,05
23.9.2015 00:00:00:000;0,05
23.9.2015 01:00:00:000;0,01
23.9.2015 02:00:00:000;0,02
23.9.2015 03:00:00:000;0
23.9.2015 04:00:00:000;0,01
23.9.2015 05:00:00:000;0
23.9.2015 06:00:00:000;0,08
23.9.2015 07:00:00:000;0,13
23.9.2015 08:00:00:000;0,09
23.9.2015 09:00:00:000;0,17
23.9.2015 10:00:00:000;0,31
23.9.2015 11:00:00:000;0,65
23.9.2015 12:00:00:000;0,36
23.9.2015 13:00:00:000;0,33
23.9.2015 14:00:00:000;0,4
23.9.2015 15:00:00:000;0,38
23.9.2015 16:00:00:000;0,33
23.9.2015 17:00:00:000;0,31
23.9.2015 18:00:00:000;0,22
23.9.2015 19:00:00:000;0,18
23.9.2015 20:00:00:000;0,11
23.9.2015 21:00:00:000;0,1
23.9.2015 22:00:00:000;0,06
23.9.2015 23:00:00:000;0,07
24.9.2015 00:00:00:000;0,01
24.9.2015 01:00:00:000;0,05
24.9.2015 02:00:00:000;0,04
24.9.2015 03:00:00:000;0
24.9.2015 04:00:00:000;0,03
24.9.2015 05:00:00:000;0,03
24.9.2015 06:00:00:000;0,01
24.9.2015 07:00:00:000;0,09
24.9.2015 08:00:00:000;0,1
24.9.2015 09:00:00:000;0,17
24.9.2015 10:00:00:000;0,25
24.9.2015 11:00:00:000;0,24
24.9.2015 12:00:00:000;0,39
24.9.2015 13:00:00:000;0,43
24.9.2015 14:00:00:000;0,52
24.9.2015 15:00:00:000;0,42
24.9.2015 16:00:00:000;0,56
24.9.2015 17:00:00:000;0,35
24.9.2015 18:00:00:000;0,26
24.9.2015 19:00:00:000;0,23
24.9.2015 20:00:00:000;0,1
24.9.2015 21:00:00:000;0,1
24.9.2015 22:00:00:000;0,11
24.9.2015 23:00:00:000;0,03
25.9.2015 00:00:00:000;0,04
25.9.2015 01:00:00:000;0,06
25.9.2015 02:00:00:000;0,02
25.9.2015 03:00:00:000;0,06
25.9.2015 04:00:00:000;0,03
25.9.2015 05:00:00:000;0,02
25.9.2015 06:00:00:000;0,02
25.9.2015 07:00:00:000;0,1
25.9.2015 08:00:00:000;0,1
25.9.2015 09:00:00:000;0,16
25.9.2015 10:00:00:000;0,21
25.9.2015 11:00:00:000;0,28
25.9.2015 12:00:00:000;0,24
25.9.2015 13:00:00:000;0,32
25.9.2015 14:00:00:000;0,37
25.9.2015 15:00:00:000;0,3
25.9.2015 16:00:00:000;0,34
25.9.2015 17:00:00:000;0,24
25.9.2015 18:00:00:000;0,22
25.9.2015 19:00:00:000;0,14
25.9.2015 20:00:00:000;0,13
25.9.2015 21:00:00:000;0,04
25.9.2015 22:00:00:000;0,05
25.9.2015 23:00:00:000;0,01
26.9.2015 00:00:00:000;0,01
26.9.2015 01:00:00:000;0,02
26.9.2015 02:00:00:000;0,03
26.9.2015 03:00:00:000;0
26.9.2015 04:00:00:000;0,01
26.9.2015 05:00:00:000;0,03
26.9.2015 06:00:00:000;0,02
26.9.2015 07:00:00:000;0,01
26.9.2015 08:00:00:000;0,05
26.9.2015 09:00:00:000;0,11
26.9.2015 10:00:00:000;0,09
26.9.2015 11:00:00:000;0,12
26.9.2015 12:00:00:000;0,15
26.9.2015 13:00:00:000;0,18
26.9.2015 14:00:00:000;0,25
26.9.2015 15:00:00:000;0,18
26.9.2015 16:00:00:000;0,13
26.9.2015 17:00:00:000;0,2
26.9.2015 18:00:00:000;0,12
26.9.2015 19:00:00:000;0,13
26.9.2015 20:00:00:000;0,09
26.9.2015 21:00:00:000;0,05
26.9.2015 22:00:00:000;0,05
26.9.2015 23:00:00:000;0,06
27.9.2015 00:00:00:000;0,04
27.9.2015 01:00:00:000;0,03
27.9.2015 02:00:00:000;0,02
27.9.2015 03:00:00:000;0,01
27.9.2015 04:00:00:000;0,02
27.9.2015 05:00:00:000;0,02
27.9.2015 06:00:00:000;0,01
27.9.2015 07:00:00:000;0,03
27.9.2015 08:00:00:000;0,02
27.9.2015 09:00:00:000;0,08
27.9.2015 10:00:00:000;0,1
27.9.2015 11:00:00:000;0,17
27.9.2015 12:00:00:000;0,12
27.9.2015 13:00:00:000;0,18
27.9.2015 14:00:00:000;0,14
27.9.2015 15:00:00:000;0,2
