Maarintalo,;
Heating;
DateTime;kW
20.9.2015 15:00:00:000;50,26
20.9.2015 16:00:00:000;49,62
20.9.2015 17:00:00:000;50,38
20.9.2015 18:00:00:000;51,38
20.9.2015 19:00:00:000;50,74
20.9.2015 20:00:00:000;50,49
20.9.2015 21:00:00:000;48,69
20.9.2015 22:00:00:000;50,9
20.9.2015 23:00:00:000;45,59
21.9.2015 00:00:00:000;43,01
21.9.2015 01:00:00:000;42,45
21.9.2015 02:00:00:000;40,84
21.9.2015 03:00:00:000;41,38
21.9.2015 04:00:00:000;40,47
21.9.2015 05:00:00:000;38,74
21.9.2015 06:00:00:000;48,65
21.9.2015 07:00:00:000;55,75
21.9.2015 08:00:00:000;64,11
21.9.2015 09:00:00:000;67,53
21.9.2015 10:00:00:000;72,21
21.9.2015 11:00:00:000;73,69
21.9.2015 12:00:00:000;75,22
21.9.2015 13:00:00:000;76,94
21.9.2015 14:00:00:000;76,62
21.9.2015 15:00:00:000;79,07
21.9.2015 16:00:00:000;74,27
21.9.2015 17:00:00:000;69,03
21.9.2015 18:00:00:000;63,39
21.9.2015 19:00:00:000;57,9
21.9.2015 20:00:00:000;54,67
21.9.2015 21:00:00:000;50,95
21.9.2015 22:00:00:000;51,58
21.9.2015 23:00:00:000;49,49
22.9.2015 00:00:00:000;46,05
22.9.2015 01:00:00:000;43,38
22.9.2015 02:00:00:000;44,82
22.9.2015 03:00:00:000;40,53
22.9.2015 04:00:00:000;42,31
22.9.2015 05:00:00:000;42,31
22.9.2015 06:00:00:000;42,73
22.9.2015 07:00:00:000;55,33
22.9.2015 08:00:00:000;63,73
22.9.2015 09:00:00:000;67,75
22.9.2015 10:00:00:000;70,66
22.9.2015 11:00:00:000;73,65
22.9.2015 12:00:00:000;75,92
22.9.2015 13:00:00:000;81,52
22.9.2015 14:00:00:000;80,02
22.9.2015 15:00:00:000;78,71
22.9.2015 16:00:00:000;78,77
22.9.2015 17:00:00:000;71,4
22.9.2015 18:00:00:000;58,88
22.9.2015 19:00:00:000;54,94
22.9.2015 20:00:00:000;52,45
22.9.2015 21:00:00:000;47,04
22.9.2015 22:00:00:000;49,1
22.9.2015 23:00:00:000;44,53
23.9.2015 00:00:00:000;42,55
23.9.2015 01:00:00:000;43,2
23.9.2015 02:00:00:000;42,64
23.9.2015 03:00:00:000;42,72
23.9.2015 04:00:00:000;41,9
23.9.2015 05:00:00:000;40,59
23.9.2015 06:00:00:000;43,26
23.9.2015 07:00:00:000;55,44
23.9.2015 08:00:00:000;66,16
23.9.2015 09:00:00:000;68,06
23.9.2015 10:00:00:000;70,2
23.9.2015 11:00:00:000;71,94
23.9.2015 12:00:00:000;76,3
23.9.2015 13:00:00:000;77,55
23.9.2015 14:00:00:000;79,16
23.9.2015 15:00:00:000;79,35
23.9.2015 16:00:00:000;75,3
23.9.2015 17:00:00:000;68,32
23.9.2015 18:00:00:000;54,81
23.9.2015 19:00:00:000;49,69
23.9.2015 20:00:00:000;49,67
23.9.2015 21:00:00:000;47,45
23.9.2015 22:00:00:000;48,26
23.9.2015 23:00:00:000;44,18
24.9.2015 00:00:00:000;42,68
24.9.2015 01:00:00:000;43,39
24.9.2015 02:00:00:000;42,47
24.9.2015 03:00:00:000;41,86
24.9.2015 04:00:00:000;43,16
24.9.2015 05:00:00:000;42,08
24.9.2015 06:00:00:000;43,16
24.9.2015 07:00:00:000;53,77
24.9.2015 08:00:00:000;63,15
24.9.2015 09:00:00:000;67,97
24.9.2015 10:00:00:000;70,92
24.9.2015 11:00:00:000;72,43
24.9.2015 12:00:00:000;74,64
24.9.2015 13:00:00:000;77,14
24.9.2015 14:00:00:000;77,83
24.9.2015 15:00:00:000;79,95
24.9.2015 16:00:00:000;83,24
24.9.2015 17:00:00:000;73,43
24.9.2015 18:00:00:000;57,27
24.9.2015 19:00:00:000;51,04
24.9.2015 20:00:00:000;51,3
24.9.2015 21:00:00:000;47,07
24.9.2015 22:00:00:000;48,89
24.9.2015 23:00:00:000;45,95
25.9.2015 00:00:00:000;42
25.9.2015 01:00:00:000;41,51
25.9.2015 02:00:00:000;41,93
25.9.2015 03:00:00:000;41,13
25.9.2015 04:00:00:000;40,63
25.9.2015 05:00:00:000;40,45
25.9.2015 06:00:00:000;43,82
25.9.2015 07:00:00:000;55,88
25.9.2015 08:00:00:000;65,4
25.9.2015 09:00:00:000;67,21
25.9.2015 10:00:00:000;71,25
25.9.2015 11:00:00:000;71,43
25.9.2015 12:00:00:000;71,18
25.9.2015 13:00:00:000;73,55
25.9.2015 14:00:00:000;76,67
25.9.2015 15:00:00:000;73,49
25.9.2015 16:00:00:000;67,18
25.9.2015 17:00:00:000;58,88
25.9.2015 18:00:00:000;51,42
25.9.2015 19:00:00:000;48,96
25.9.2015 20:00:00:000;48,27
25.9.2015 21:00:00:000;44,76
25.9.2015 22:00:00:000;46,16
25.9.2015 23:00:00:000;43,47
26.9.2015 00:00:00:000;42,42
26.9.2015 01:00:00:000;41,31
26.9.2015 02:00:00:000;40,72
26.9.2015 03:00:00:000;38,93
26.9.2015 04:00:00:000;39,98
26.9.2015 05:00:00:000;39,82
26.9.2015 06:00:00:000;39,74
26.9.2015 07:00:00:000;37,66
26.9.2015 08:00:00:000;40,88
26.9.2015 09:00:00:000;41,32
26.9.2015 10:00:00:000;40,8
26.9.2015 11:00:00:000;45,4
26.9.2015 12:00:00:000;46,35
26.9.2015 13:00:00:000;49,92
